Heat,c (Coke1030),s (Coke1030),s112 (Coke1030),c (CokeFine),s (CokeFine),s05 (CokeFine),cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),cao (Lime),mgo (Lime),s0_95 (Lime),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Power On (EAF),Power Off (EAF),Ele [MW] (EAF),Tapped [t] (EAF),O2 [Nm3] (EAF),CH4 [Nm3] (EAF),C.inj [kg] (EAF),C [kg] (EAF),CaO [kg] (EAF),MgO [kg] (EAF),Total_labels,Slag_labels
4024675.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,48.0,17.0,123.7800446,173.3843842,5406.527832,613.8022461,1762.105713,2003.199951,8212.496094,9049.3125,2,1
4024676.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,49.0,19.0,120.6573257,174.9360504,5556.615234,630.1734009,1799.0,2004.900024,9077.881836,9099.219727,2,1
4024677.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,47.0,18.0,121.9411011,172.9380798,5474.050293,621.7420044,1709.296265,2002.699951,8128.681152,9069.806641,2,1
4024678.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,52.0,9.0,121.3981552,177.9999847,6058.889648,689.4729614,1913.888916,2004.000122,8915.174805,10751.17578,2,1
4024681.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,48.0,9.0,118.106636,181.0374298,5615.665039,643.6116333,2254.976563,2000.599976,8687.293945,8697.208984,2,1
4024689.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,52.0,18.0,114.6291733,179.3731384,5585.601074,727.9995117,1924.0,2002.5,9569.194336,9365.087891,2,1
4024690.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,55.0,14.0,115.4869156,181.2798767,5817.476074,670.1982422,2237.0,2008.800049,9904.50293,10043.07129,2,1
4024691.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,53.0,7.0,118.536911,172.1346436,5627.817871,735.2167358,2290.0,2002.800171,10189.29883,10040.9873,2,1
4024692.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,56.0,12.0,119.0225906,176.1116486,6037.740234,694.8108521,2361.999023,2001.100098,10037.70508,10359.56641,2,1
4024693.0,83.47,0.93,2.67,80.5,1.33,5.33,54.68,33.22,2.5,82.5,87.58,94.2,1.68,9.3,6.53,90.7,1.28,2.4,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,53.0,6.0,119.0666885,176.8136444,5663.742676,740.3276367,2403.0,2005.799927,9928.412109,9916.467773,2,1
4024696.0,83.05,0.9,2.0,80.5,1.33,5.33,54.3,34.02,2.25,81.4,87.8,92.7,1.8,8.57,8.23,90.6,1.33,2.33,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,51.0,17.0,124.1441956,177.282135,4971.564941,546.1386719,1779.888916,2000.199951,10034.50488,10234.69629,2,1
4024698.0,83.05,0.9,2.0,80.5,1.33,5.33,54.3,34.02,2.25,81.4,87.8,92.7,1.8,8.57,8.23,90.6,1.33,2.33,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,51.0,13.0,122.9643326,176.8188629,4719.58252,519.2165527,2262.0,2005.0,9822.386719,9380.583984,2,1
4024699.0,83.05,0.9,2.0,80.5,1.33,5.33,54.3,34.02,2.25,81.4,87.8,92.7,1.8,8.57,8.23,90.6,1.33,2.33,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,48.0,11.0,122.5704498,174.2193756,4475.115723,486.1060791,1815.99939,2000.299927,9288.485352,9301.289063,2,1
4024707.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,53.0,8.0,114.6704407,176.9393311,6558.959961,755.9105225,2309.987793,2007.5,8712.394531,9828.830078,2,1
4024709.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,50.0,10.0,112.5391541,183.4000092,6336.465332,733.1781006,1998.650146,2001.900146,9253.208984,10030.91016,2,1
4024710.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,50.0,8.0,109.8888702,183.3999939,6279.65332,722.0391235,1918.653687,2004.499878,9239.103516,9597.688477,2,0
4024711.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,56.0,8.0,109.7285995,177.8999939,6172.294922,698.8986816,2111.0,2002.800049,10858.89746,10770.19727,2,0
4024712.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,49.0,10.0,110.3180771,199.7000122,5024.790039,572.9584351,1582.625366,2007.5,8750.40625,8987.494141,2,0
4024713.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,50.0,8.0,117.4285355,182.5,5784.433105,661.4578247,1909.999634,2027.800049,8859.602539,9993.866211,2,0
4024714.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,50.0,8.0,119.0258179,179.5596466,5953.727539,783.2617188,1736.0,2003.5,9032.707031,10161.18945,2,0
4024715.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,54.0,9.0,119.4634476,178.2999878,6386.214844,727.3358765,2445.99585,2003.200073,9071.319336,10926.00391,2,1
4024716.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,53.0,8.0,118.8751831,180.2000122,6102.349609,803.6337891,1778.666626,2000.400024,9211.115234,10322.71484,2,1
4024717.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,55.0,12.0,114.8117371,191.0999908,5859.226563,676.0545044,2026.543213,2005.899902,9291.414063,10616.60254,2,1
4024718.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,60.0,9.0,115.3529434,177.7000122,6370.887207,738.2214966,2491.666016,2004.300049,10451.30957,11691.4668,2,1
4024721.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,55.0,8.0,117.4194489,173.7108002,6455.030273,742.4506226,2162.0,2003.0,11406.92188,11330.69434,2,1
4024722.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,54.0,8.0,116.7811432,182.232193,5716.060547,752.0847168,2294.888916,2007.900024,9399.503906,10200.49023,2,1
4024724.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,53.0,9.0,118.5189667,183.8675385,5635.885254,637.0690918,2155.934326,2003.199829,9791.401367,10172.67676,2,1
4024725.0,83.05,0.9,2.0,80.5,1.33,5.33,54.83,34.4,2.33,81.55,87.4,93.3,1.88,9.05,7.53,90.9,1.2,4.0,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,54.0,9.0,120.5474701,174.0847778,5307.250977,696.2210083,2018.962158,2004.799927,9196.195313,10195.48438,2,1
