,x,y,label
0,0.0,18.0,1
1,0.0,17.94,1
2,0.0,17.89,1
3,0.0,17.83,1
4,0.0,17.78,1
5,0.0,17.72,1
6,0.0,17.66,1
7,0.0,17.61,1
8,0.0,17.55,1
9,0.0,17.5,1
10,0.0,17.44,1
11,0.0,17.38,1
12,0.0,17.33,1
13,0.0,17.27,1
14,0.0,17.21,1
15,0.0,17.16,1
16,0.0,17.1,1
17,0.0,17.05,1
18,0.0,16.99,1
19,0.0,16.93,1
20,0.0,16.88,1
21,0.0,16.82,1
22,0.0,16.77,1
23,0.0,16.71,1
24,0.0,16.65,1
25,0.0,16.6,1
26,0.0,16.54,1
27,0.0,16.49,1
28,0.0,16.43,1
29,0.0,16.37,1
30,0.0,16.32,1
31,0.0,16.26,1
32,0.0,16.21,1
33,0.0,16.15,1
34,0.0,16.09,1
35,0.0,16.04,1
36,0.0,15.98,1
37,0.0,15.93,1
38,0.0,15.87,1
39,0.0,15.81,1
40,0.0,15.76,1
41,0.0,15.7,1
42,0.0,15.64,1
43,0.0,15.59,1
44,0.0,15.53,1
45,0.0,15.48,1
46,0.0,15.42,1
47,0.0,15.36,1
48,0.0,15.31,1
49,0.0,15.25,1
50,0.0,15.2,1
51,0.0,15.14,1
52,0.0,15.08,1
53,0.0,15.03,1
54,0.0,14.97,1
55,0.0,14.92,1
56,0.0,14.86,1
57,0.0,14.8,1
58,0.0,14.75,1
59,0.0,14.69,1
60,0.0,14.64,1
61,0.0,14.58,1
62,0.0,14.52,1
63,0.0,14.47,1
64,0.0,14.41,1
65,0.0,14.36,1
66,0.0,14.3,1
67,0.0,14.24,1
68,0.0,14.19,1
69,0.0,14.13,1
70,0.0,14.07,1
71,0.0,14.02,1
72,0.0,13.96,1
73,0.0,13.91,1
74,0.0,13.85,1
75,0.0,13.79,1
76,0.0,13.74,1
77,0.0,13.68,1
78,0.0,13.63,1
79,0.0,13.57,1
80,0.0,13.51,1
81,0.0,13.46,1
